CustomerID,CustomerName,Email,OrderDate,ProductCategory,Price,Rating
1252,customer 35,customer35@example.com,2023-03-19,Clothing,233.16,4.0
1747,CUSTOMER 36,customer36@example.com,2023-01-01,Electornics,85.22,4.0
1856,customer 37,customer37@example.com,2023-02-20,Clothing,107.62,4.0
1560,customer 38,customer38@example.com,2023-06-22,Clothng,,1.0
1474,CUSTOMER 39,customer39@example.com,07/24/23,Books,190.58,2.0
1058,CUSTOMER 40,customer40@example.com,09/17/23,Electronics,95.87,4.0
1510,customer 41,customer41@example.com,2023-10-15,Electronics,58.55,3.0
1681,customer 42,customer42@example.com,02/03/23,Electornics,36.68,1.0
1475,customer 43,customer43@example.com,12/14/23,Clothing,-50.0,5.0
1699,CUSTOMER 44,customer44@example.com,2023-04-05,Electornics,77.58,5.0
1975,customer 45,customer45@example.com,2023-03-13,Books,200.5,4.0
1782,CUSTOMER 46,customer46@example.com,2023-02-08,Electornics,188.49,1.0
1189,CUSTOMER 47,customer47@example.com,2023-06-03,Electronics,48.28,5.0
1957,CUSTOMER 48,customer48@example.com,2023-09-07,Electronics,64.46,4.0
1686,CUSTOMER 49,customer49@example.com,2023-06-11,Clothng,103.69,5.0
1957,CUSTOMER 50,customer50@example.com,04/28/23,Clothng,169.86,5.0
1562,CUSTOMER 51,customer51@example.com,2023-09-16,Books,102.85,5.0
1875,CUSTOMER 52,customer52@example.com,2023-11-02,Clothing,67.64,4.0
1566,CUSTOMER 53,customer53@example.com,2023-09-25,Electornics,97.06,1.0
1243,customer 54,customer54@example.com,2023-02-23,Books,68.58,4.0
1831,CUSTOMER 55,customer55@example.com,2023-08-24,Clothng,130.12,4.0
1504,CUSTOMER 56,customer56@example.com,08/10/23,Electornics,64.55,4.0
1130,customer 57,customer57@example.com,2023-09-08,Clothng,74.48,2.0
1484,CUSTOMER 58,customer58@example.com,2023-11-09,Electornics,158.1,2.0
1818,customer 59,customer59@example.com,2023-04-22,Clothing,61.58,5.0
1646,CUSTOMER 60,customer60@example.com,09/12/23,Books,27.69,4.0
1020,CUSTOMER 61,customer61@example.com,2023-10-30,Electornics,104.75,5.0
1840,customer 62,customer62@example.com,2023-07-26,Electronics,81.98,5.0
1166,customer 63,customer63@example.com,08/17/23,Electronics,125.57,4.0
1273,customer 64,customer64@example.com,2023-12-07,Electornics,115.87,4.0
1387,customer 65,customer65@example.com,2023-03-07,Electornics,,5.0
1600,customer 66,customer66@example.com,2023-03-16,Electornics,96.95,4.0
1315,CUSTOMER 67,customer67@example.com,2023-04-13,Electronics,63.21,4.0
1013,CUSTOMER 68,customer68@example.com,2023-07-11,Electronics,104.17,2.0
1241,CUSTOMER 69,customer69@example.com,2023-09-09,Electornics,144.06,3.0
1776,CUSTOMER 70,,2023-08-14,Clothng,51.33,4.0
1345,customer 71,customer71@example.com,10/21/23,Clothng,99.73,2.0
1564,customer 72,customer72@example.com,2023-11-02,Clothing,151.92,2.0
1897,CUSTOMER 73,customer73@example.com,04/08/23,Books,125.27,3.0
1339,customer 74,customer74@example.com,12/04/23,Clothng,165.47,2.0
1091,customer 75,customer75@example.com,2023-10-13,Electronics,71.59,2.0
1366,CUSTOMER 76,customer76@example.com,2023-12-01,Clothng,8.46,3.0
1955,CUSTOMER 77,customer77@example.com,2023-12-13,Clothing,110.03,5.0
1454,CUSTOMER 78,customer78@example.com,2023-11-04,Clothing,118.13,4.0
1427,CUSTOMER 79,customer79@example.com,2023-09-06,Books,168.42,2.0
1508,CUSTOMER 80,customer80@example.com,06/15/23,Clothng,159.41,1.0
1775,customer 81,customer81@example.com,2023-12-01,Electronics,126.84,4.0
1942,CUSTOMER 82,customer82@example.com,2023-01-30,Electronics,138.27,3.0
1034,CUSTOMER 83,customer83@example.com,2023-09-04,Electornics,90.41,5.0
1205,customer 84,customer84@example.com,2023-04-16,Electronics,39.04,4.0
1080,customer 85,customer85@example.com,2023-02-20,Books,105.89,5.0
1931,customer 86,customer86@example.com,2023-03-22,Books,149.13,2.0
1561,CUSTOMER 87,customer87@example.com,05/13/23,Electronics,132.82,4.0
1871,CUSTOMER 88,customer88@example.com,2023-10-12,Electronics,141.69,2.0
1387,customer 89,customer89@example.com,2023-05-18,Electornics,,5.0
1001,CUSTOMER 90,customer90@example.com,2023-07-03,Electronics,86.72,4.0
1389,CUSTOMER 91,customer91@example.com,11/26/23,Electornics,124.17,3.0
1565,customer 92,customer92@example.com,2023-09-30,Electornics,72.67,2.0
1105,customer 93,customer93@example.com,12/06/23,Electronics,74.21,2.0
1771,CUSTOMER 94,customer94@example.com,2023-03-10,Clothing,114.9,4.0
1821,CUSTOMER 95,customer95@example.com,2023-02-03,Clothing,138.05,2.0
1476,CUSTOMER 96,customer96@example.com,09/19/23,Electornics,90.02,4.0
1702,CUSTOMER 97,customer97@example.com,2023-02-22,Electronics,41.84,2.0
1401,CUSTOMER 98,customer98@example.com,07/24/23,Clothing,63.21,4.0
1729,CUSTOMER 99,customer99@example.com,2023-05-06,Electronics,110.18,5.0
1555,CUSTOMER 100,customer100@example.com,2023-08-23,Electronics,-50.0,5.0
1161,customer 101,customer101@example.com,02/12/23,Electronics,112.06,5.0
1201,customer 102,customer102@example.com,08/28/23,Clothng,126.06,2.0
1957,customer 103,customer103@example.com,2023-04-21,Electronics,100.29,1.0
1995,CUSTOMER 104,customer104@example.com,09/06/23,Clothng,113.25,4.0
1269,CUSTOMER 105,customer105@example.com,05/31/23,Electornics,97.75,3.0
1862,CUSTOMER 106,customer106@example.com,2023-07-02,Clothing,157.44,3.0
1815,CUSTOMER 107,customer107@example.com,2023-12-02,Clothing,,1.0
1270,CUSTOMER 108,customer108@example.com,2023-04-05,Clothing,40.55,2.0
1455,customer 109,customer109@example.com,01/08/23,Clothing,87.24,1.0
1461,customer 110,customer110@example.com,12/26/23,Clothing,101.64,5.0
1726,customer 111,customer111@example.com,07/03/23,Clothing,86.65,2.0
1251,CUSTOMER 112,customer112@example.com,10/08/23,Clothing,189.65,4.0
1701,customer 113,customer113@example.com,2023-07-14,Electornics,111.2,1.0
1295,CUSTOMER 114,customer114@example.com,2023-12-18,Electronics,59.73,4.0
1724,CUSTOMER 115,customer115@example.com,07/14/23,Books,129.82,3.0
1719,CUSTOMER 116,customer116@example.com,2023-06-04,Clothng,113.55,5.0
1748,customer 117,customer117@example.com,2023-04-03,Books,115.21,5.0
1337,customer 118,customer118@example.com,2023-06-09,Books,190.39,3.0
1878,CUSTOMER 119,customer119@example.com,2023-03-02,Electronics,117.54,5.0
1052,customer 120,customer120@example.com,2023-05-02,Electronics,84.82,
1791,customer 121,customer121@example.com,02/20/23,Electronics,2.24,5.0
1921,CUSTOMER 122,customer122@example.com,10/04/23,Clothing,91.73,5.0
1216,CUSTOMER 123,customer123@example.com,2023-01-05,Electornics,165.3,2.0
1763,CUSTOMER 124,customer124@example.com,04/02/23,Clothing,95.44,4.0
1187,customer 125,customer125@example.com,2023-06-19,Electornics,-12.0,1.0
1379,CUSTOMER 126,customer126@example.com,2023-11-13,Electornics,75.08,1.0
1492,customer 127,customer127@example.com,2023-01-22,Books,149.63,
1040,CUSTOMER 128,customer128@example.com,2023-11-22,Books,127.29,3.0
1156,customer 129,customer129@example.com,2023-01-01,Electornics,58.01,4.0
1014,CUSTOMER 130,customer130@example.com,2023-05-13,Electornics,71.74,5.0
1812,customer 131,customer131@example.com,2023-08-21,Clothing,79.46,5.0
1064,customer 132,customer132@example.com,01/12/23,Clothing,66.86,
1856,customer 133,customer133@example.com,2023-12-12,Books,-1.48,2.0
1838,customer 134,customer134@example.com,02/15/23,Electronics,138.18,1.0
1520,CUSTOMER 135,customer135@example.com,2023-02-03,Electornics,162.85,3.0
1343,customer 136,customer136@example.com,2023-03-19,Clothing,24.08,1.0
1128,CUSTOMER 137,customer137@example.com,2023-08-06,Books,162.19,1.0
1647,CUSTOMER 138,customer138@example.com,2023-10-28,Clothing,94.85,3.0
1471,customer 139,customer139@example.com,2023-03-14,Electornics,161.26,5.0
1062,CUSTOMER 140,customer140@example.com,2023-10-09,Electornics,101.9,4.0
1138,customer 141,customer141@example.com,09/06/23,Clothng,106.78,3.0
1498,customer 142,customer142@example.com,2023-02-16,Electronics,118.62,4.0
1592,CUSTOMER 143,customer143@example.com,2023-05-01,Clothng,60.5,2.0
1391,customer 144,customer144@example.com,2023-08-02,Books,159.73,1.0
1674,CUSTOMER 145,customer145@example.com,2023-08-27,Clothing,43.93,5.0
1418,CUSTOMER 146,customer146@example.com,02/25/23,Books,79.9,4.0
1288,CUSTOMER 147,customer147@example.com,2023-12-16,Electornics,126.21,5.0
1378,customer 148,customer148@example.com,2023-04-17,Clothng,74.54,1.0
1772,customer 149,customer149@example.com,2023-11-15,Clothng,138.88,5.0
1489,customer 150,customer150@example.com,02/17/23,Clothng,168.79,4.0
1230,customer 151,customer151@example.com,2023-03-02,Books,150.63,4.0
1040,CUSTOMER 152,customer152@example.com,2023-12-03,Electornics,3.19,4.0
1027,CUSTOMER 153,customer153@example.com,01/26/23,Clothing,106.29,5.0
1134,customer 154,customer154@example.com,2023-10-19,Clothing,151.43,4.0
1200,CUSTOMER 155,,2023-09-14,Books,34.16,4.0
1839,CUSTOMER 156,customer156@example.com,2023-01-08,Clothng,136.18,
1779,CUSTOMER 157,customer157@example.com,2023-04-23,Electronics,133.37,5.0
1929,customer 158,customer158@example.com,2023-12-21,Books,39.4,3.0
1032,customer 159,customer159@example.com,2023-09-10,Books,141.71,4.0
1047,CUSTOMER 160,customer160@example.com,2023-06-29,Electornics,113.63,3.0
1502,CUSTOMER 161,customer161@example.com,07/26/23,Clothing,132.52,2.0
1406,customer 162,customer162@example.com,10/30/23,Books,51.68,4.0
1573,customer 163,customer163@example.com,2023-05-07,Books,107.51,5.0
1727,CUSTOMER 164,customer164@example.com,2023-02-25,Clothng,14.76,5.0
1804,customer 165,customer165@example.com,08/02/23,Clothng,-13.85,3.0
1098,CUSTOMER 166,customer166@example.com,2023-01-14,Electronics,107.04,4.0
1683,CUSTOMER 167,customer167@example.com,2023-01-28,Electornics,155.03,2.0
1871,customer 168,customer168@example.com,03/19/23,Electronics,112.65,
1725,customer 169,customer169@example.com,2023-08-04,Clothng,96.83,
1986,CUSTOMER 170,customer170@example.com,12/31/23,Clothing,90.62,4.0
1546,customer 171,customer171@example.com,2023-06-03,Clothng,52.87,5.0
1960,customer 172,customer172@example.com,2023-01-14,Electornics,88.91,4.0
1738,customer 173,customer173@example.com,2023-07-06,Clothng,121.08,4.0
1612,customer 174,customer174@example.com,11/08/23,Electornics,78.24,1.0
1942,customer 175,customer175@example.com,2023-01-07,Electornics,137.53,3.0
1461,CUSTOMER 176,customer176@example.com,2023-01-03,Electornics,109.8,4.0
1642,CUSTOMER 177,,2023-04-21,Electornics,115.85,4.0
1768,CUSTOMER 178,customer178@example.com,08/26/23,Electornics,144.43,3.0
1004,CUSTOMER 179,customer179@example.com,2023-12-29,Clothing,73.66,5.0
1217,customer 180,customer180@example.com,2023-08-27,Electronics,132.97,2.0
1502,customer 181,customer181@example.com,2023-10-01,Books,80.68,4.0
1766,CUSTOMER 182,customer182@example.com,2023-10-21,Electronics,116.98,4.0
1397,CUSTOMER 183,customer183@example.com,2023-08-15,Electornics,67.71,4.0
1870,CUSTOMER 184,customer184@example.com,2023-01-15,Clothing,54.46,4.0
1794,CUSTOMER 185,customer185@example.com,07/11/23,Clothng,104.59,2.0
1392,customer 186,,2023-04-29,Clothing,5.74,2.0
1206,CUSTOMER 187,,01/28/23,Electornics,85.19,4.0
1014,customer 188,,2023-07-21,Clothing,19.68,4.0
1857,customer 189,customer189@example.com,02/08/23,Clothing,138.96,2.0
1553,CUSTOMER 190,customer190@example.com,2023-09-30,Electornics,152.51,4.0
1891,CUSTOMER 191,customer191@example.com,08/19/23,Clothing,56.8,3.0
1460,CUSTOMER 192,customer192@example.com,2023-03-27,Books,121.42,4.0
1690,customer 193,customer193@example.com,2023-05-06,Books,144.96,5.0
1574,customer 194,customer194@example.com,10/27/23,Clothing,145.12,2.0
1863,CUSTOMER 195,customer195@example.com,01/25/23,Clothng,110.72,1.0
1742,customer 196,customer196@example.com,05/25/23,Electornics,136.72,5.0
1240,customer 197,customer197@example.com,2023-01-13,Books,67.53,4.0
1563,CUSTOMER 198,customer198@example.com,2023-07-31,Clothng,104.16,4.0
1095,CUSTOMER 199,customer199@example.com,2023-01-25,Clothing,76.64,5.0
1899,customer 200,customer200@example.com,03/09/23,Clothng,63.31,5.0
1733,customer 201,customer201@example.com,2023-03-08,Electronics,101.8,
1484,customer 202,customer202@example.com,2023-08-21,Books,,4.0
1406,customer 203,customer203@example.com,2023-04-19,Clothing,158.18,3.0
1230,customer 204,customer204@example.com,2023-05-26,Electornics,113.26,3.0
1748,CUSTOMER 205,customer205@example.com,04/21/23,Clothing,132.1,2.0
1654,customer 206,customer206@example.com,08/16/23,Electornics,132.66,4.0
1170,customer 207,customer207@example.com,04/21/23,Clothing,234.38,2.0
1540,customer 208,customer208@example.com,02/03/23,Clothng,9.5,5.0
1035,CUSTOMER 209,customer209@example.com,04/21/23,Clothng,65.6,4.0
1524,CUSTOMER 210,customer210@example.com,09/21/23,Clothng,173.7,4.0
1159,CUSTOMER 211,customer211@example.com,2023-08-24,Electronics,82.4,3.0
1838,CUSTOMER 212,customer212@example.com,2023-03-24,Electornics,144.29,1.0
1698,CUSTOMER 213,customer213@example.com,2023-02-11,Clothng,111.5,1.0
1242,customer 214,customer214@example.com,2023-04-11,Electronics,205.26,3.0
1085,customer 215,customer215@example.com,2023-01-06,Electornics,44.35,1.0
1795,CUSTOMER 216,customer216@example.com,06/29/23,Clothing,161.09,4.0
1577,customer 217,customer217@example.com,2023-10-09,Electronics,187.48,5.0
1681,CUSTOMER 218,customer218@example.com,11/16/23,Books,49.28,5.0
1556,CUSTOMER 219,customer219@example.com,2023-08-14,Electronics,139.14,4.0
1573,CUSTOMER 220,customer220@example.com,2023-11-11,Electronics,51.73,2.0
1952,customer 221,customer221@example.com,2023-12-31,Electornics,,5.0
1645,CUSTOMER 222,customer222@example.com,08/17/23,Clothing,87.17,5.0
1795,CUSTOMER 223,customer223@example.com,10/16/23,Books,-20.14,2.0
1027,CUSTOMER 224,customer224@example.com,2023-05-30,Clothng,121.21,4.0
1619,customer 225,customer225@example.com,10/04/23,Clothng,107.17,2.0
1555,CUSTOMER 226,customer226@example.com,2023-07-17,Electronics,173.95,5.0
1339,customer 227,customer227@example.com,2023-03-11,Electornics,130.56,
1797,customer 228,customer228@example.com,2023-04-22,Electornics,214.54,1.0
1957,customer 229,customer229@example.com,2023-01-04,Clothng,105.35,5.0
1330,customer 230,customer230@example.com,2023-12-16,Books,94.72,4.0
1639,CUSTOMER 231,customer231@example.com,11/27/23,Clothing,90.78,
1505,CUSTOMER 232,customer232@example.com,2023-11-14,Books,78.02,3.0
1347,customer 233,customer233@example.com,2023-12-16,Clothing,-10.39,5.0
1472,CUSTOMER 234,customer234@example.com,2023-04-05,Clothng,88.99,1.0
1230,customer 235,customer235@example.com,06/01/23,Clothing,-3.39,3.0
1189,customer 236,customer236@example.com,2023-11-07,Electornics,122.6,1.0
1224,customer 237,customer237@example.com,2023-05-17,Electronics,38.0,
1384,customer 238,customer238@example.com,2023-09-04,Electronics,55.28,5.0
1376,customer 239,customer239@example.com,2023-08-31,Clothng,66.53,5.0
1282,customer 240,customer240@example.com,01/31/23,Electornics,89.75,5.0
1957,CUSTOMER 241,customer241@example.com,2023-02-09,Books,100.34,1.0
1632,customer 242,customer242@example.com,2023-08-17,Electornics,154.22,3.0
1627,CUSTOMER 243,customer243@example.com,2023-02-05,Electronics,71.12,1.0
1972,CUSTOMER 244,customer244@example.com,2023-08-11,Electronics,124.01,2.0
1744,customer 245,customer245@example.com,01/06/23,Electornics,236.54,2.0
1258,CUSTOMER 246,customer246@example.com,2023-11-18,Electornics,118.87,3.0
1358,CUSTOMER 247,customer247@example.com,2023-08-08,Electronics,90.98,2.0
1709,CUSTOMER 248,customer248@example.com,2023-03-16,Books,61.04,1.0
1455,customer 249,customer249@example.com,2023-01-04,Clothng,90.28,2.0
1410,customer 250,customer250@example.com,2023-12-01,Clothng,55.69,1.0
1648,customer 251,customer251@example.com,2023-05-14,Electornics,113.43,
1317,CUSTOMER 252,customer252@example.com,04/28/23,Clothng,105.18,5.0
1676,customer 253,customer253@example.com,2023-04-04,Electronics,-8.11,
1224,customer 254,customer254@example.com,2023-03-03,Electronics,99.07,3.0
1818,CUSTOMER 255,customer255@example.com,2023-07-13,Electornics,153.81,2.0
1233,CUSTOMER 256,customer256@example.com,2023-12-01,Electornics,80.04,5.0
1683,CUSTOMER 257,customer257@example.com,2023-07-22,Electornics,67.36,3.0
1663,customer 258,customer258@example.com,2023-01-26,Books,31.11,2.0
1974,customer 259,,2023-06-22,Clothng,7.1,2.0
1826,customer 260,customer260@example.com,10/27/23,Electornics,141.57,1.0
1373,CUSTOMER 261,customer261@example.com,2023-05-13,Clothing,90.93,2.0
1671,customer 262,customer262@example.com,11/22/23,Clothing,138.6,3.0
1607,customer 263,customer263@example.com,2023-04-28,Electronics,176.57,4.0
1471,customer 264,customer264@example.com,11/20/23,Clothng,146.06,1.0
1232,customer 265,customer265@example.com,2023-10-02,Electornics,72.88,2.0
1691,CUSTOMER 266,customer266@example.com,2023-07-31,Clothing,107.24,5.0
1112,CUSTOMER 267,customer267@example.com,2023-08-13,Clothng,,1.0
1829,customer 268,customer268@example.com,2023-01-20,Electronics,64.59,3.0
1496,customer 269,customer269@example.com,2023-04-23,Books,117.14,5.0
1441,customer 270,customer270@example.com,05/20/23,Clothng,58.39,2.0
1563,CUSTOMER 271,customer271@example.com,2023-02-16,Clothng,-10.46,1.0
1267,customer 272,customer272@example.com,2023-01-01,Books,55.59,3.0
1509,CUSTOMER 273,customer273@example.com,03/31/23,Clothng,84.66,3.0
1806,CUSTOMER 274,customer274@example.com,2023-05-22,Electronics,176.07,4.0
1385,customer 275,customer275@example.com,2023-11-16,Electronics,75.45,5.0
1386,customer 276,customer276@example.com,2023-02-07,Books,125.6,1.0
1112,CUSTOMER 277,customer277@example.com,10/20/23,Electornics,,4.0
1612,CUSTOMER 278,customer278@example.com,2023-05-19,Clothing,161.32,4.0
1624,CUSTOMER 279,customer279@example.com,12/22/23,Electornics,157.85,1.0
1951,CUSTOMER 280,customer280@example.com,11/29/23,Clothng,158.81,4.0
1080,customer 281,customer281@example.com,2023-09-16,Clothing,13.3,2.0
1698,customer 282,,2023-06-10,Books,110.34,3.0
1112,CUSTOMER 283,customer283@example.com,2023-06-27,Books,137.95,1.0
1001,customer 284,customer284@example.com,01/10/23,Clothing,119.08,3.0
1641,customer 285,customer285@example.com,2023-09-18,Electronics,131.83,3.0
1219,customer 286,customer286@example.com,2023-05-18,Clothing,102.92,5.0
1565,CUSTOMER 287,customer287@example.com,2023-06-21,Clothng,62.76,1.0
1854,customer 288,customer288@example.com,2023-01-13,Electronics,15.15,3.0
1996,CUSTOMER 289,customer289@example.com,06/17/23,Books,67.72,3.0
1735,CUSTOMER 290,,2023-05-10,Clothing,233.91,4.0
1224,CUSTOMER 291,,2023-03-25,Electornics,75.72,4.0
1384,CUSTOMER 292,customer292@example.com,11/17/23,Electornics,2.03,4.0
1402,CUSTOMER 293,customer293@example.com,11/15/23,Clothng,136.63,5.0
1637,CUSTOMER 294,customer294@example.com,04/11/23,Electornics,142.77,5.0
1129,CUSTOMER 295,customer295@example.com,11/25/23,Clothing,164.37,3.0
1052,customer 296,customer296@example.com,2023-09-30,Clothing,123.55,4.0
1683,customer 297,customer297@example.com,2023-09-22,Electornics,142.28,5.0
1729,CUSTOMER 298,customer298@example.com,02/07/23,Clothing,192.01,
1671,customer 299,customer299@example.com,04/04/23,Clothng,62.73,5.0
1709,customer 300,customer300@example.com,2023-04-05,Electronics,52.81,3.0
1415,customer 301,customer301@example.com,2023-11-01,Clothng,45.27,2.0
1246,CUSTOMER 302,customer302@example.com,2023-03-10,Clothng,86.71,3.0
1835,customer 303,customer303@example.com,2023-11-14,Clothing,,4.0
1438,customer 304,customer304@example.com,2023-08-24,Electronics,126.4,3.0
1202,customer 305,,11/30/23,Clothing,124.43,3.0
1183,CUSTOMER 306,customer306@example.com,05/17/23,Books,9.03,5.0
1122,customer 307,customer307@example.com,2023-03-17,Clothing,65.34,3.0
1400,customer 308,customer308@example.com,2023-02-04,Clothing,8.22,5.0
1766,customer 309,customer309@example.com,2023-01-01,Clothing,158.56,3.0
1293,CUSTOMER 310,customer310@example.com,2023-10-23,Electronics,179.28,3.0
1279,CUSTOMER 311,customer311@example.com,2023-11-16,Clothing,138.98,3.0
1836,customer 312,customer312@example.com,03/01/23,Electronics,50.66,5.0
1883,customer 313,customer313@example.com,2023-11-16,Electornics,174.1,1.0
1609,CUSTOMER 314,customer314@example.com,12/15/23,Books,87.34,2.0
1197,customer 315,customer315@example.com,11/24/23,Electronics,39.28,
1981,CUSTOMER 316,customer316@example.com,2023-09-24,Electornics,51.78,2.0
1906,customer 317,customer317@example.com,2023-12-27,Electronics,78.49,4.0
1510,customer 318,customer318@example.com,2023-08-17,Electronics,102.48,4.0
1751,customer 319,customer319@example.com,2023-09-27,Books,91.93,3.0
1143,customer 320,customer320@example.com,11/12/23,Clothng,29.37,4.0
1608,CUSTOMER 321,customer321@example.com,10/13/23,Clothng,160.67,2.0
1200,customer 322,customer322@example.com,2023-10-18,Electronics,92.47,4.0
1123,CUSTOMER 323,customer323@example.com,2023-08-01,Clothing,64.31,3.0
1186,customer 324,customer324@example.com,2023-06-14,Electornics,155.52,4.0
1325,customer 325,customer325@example.com,2023-01-05,Clothing,40.83,1.0
1463,customer 326,customer326@example.com,2023-12-05,Clothing,18.56,4.0
1348,CUSTOMER 327,customer327@example.com,2023-03-19,Electronics,163.62,2.0
1770,customer 328,customer328@example.com,03/03/23,Electronics,194.57,2.0
1659,CUSTOMER 329,customer329@example.com,2023-05-12,Electronics,76.9,2.0
1763,CUSTOMER 330,customer330@example.com,2023-03-30,Electronics,97.7,2.0
1954,customer 331,customer331@example.com,08/25/23,Clothng,42.67,5.0
1931,CUSTOMER 332,customer332@example.com,2023-02-11,Electronics,100.27,2.0
1402,customer 333,customer333@example.com,2023-03-30,Clothng,76.21,5.0
1345,CUSTOMER 334,customer334@example.com,2023-10-23,Clothng,94.89,
1962,CUSTOMER 335,customer335@example.com,11/24/23,Electronics,120.46,4.0
1510,customer 336,customer336@example.com,2023-10-22,Books,45.09,1.0
1146,customer 337,customer337@example.com,04/14/23,Electornics,81.91,3.0
1147,CUSTOMER 338,customer338@example.com,2023-01-14,Clothing,9.81,5.0
1863,customer 339,customer339@example.com,10/15/23,Clothng,82.25,3.0
1710,customer 340,customer340@example.com,06/28/23,Electornics,95.33,1.0
1819,customer 341,customer341@example.com,2023-05-05,Books,111.45,4.0
1488,CUSTOMER 342,customer342@example.com,2023-12-19,Clothing,111.98,5.0
1928,customer 343,customer343@example.com,01/23/23,Clothing,145.2,5.0
1935,customer 344,customer344@example.com,03/04/23,Clothng,23.02,2.0
1639,customer 345,customer345@example.com,2023-05-23,Electronics,25.69,4.0
1550,CUSTOMER 346,customer346@example.com,2023-06-02,Books,126.45,2.0
1337,customer 347,customer347@example.com,2023-05-25,Clothng,-1.95,2.0
1871,customer 348,customer348@example.com,08/13/23,Books,109.17,5.0
1640,customer 349,customer349@example.com,2023-11-05,Electronics,40.99,2.0
1778,CUSTOMER 350,customer350@example.com,04/14/23,Electronics,178.64,2.0
1987,customer 351,customer351@example.com,04/14/23,Clothng,112.52,1.0
1952,customer 352,customer352@example.com,2023-02-08,Electronics,89.04,5.0
1472,CUSTOMER 353,customer353@example.com,2023-07-17,Electornics,161.39,5.0
1945,CUSTOMER 354,,2023-05-14,Clothing,46.83,4.0
1150,customer 355,customer355@example.com,2023-03-08,Clothng,56.33,5.0
1414,CUSTOMER 356,customer356@example.com,2023-06-28,Books,36.93,2.0
1989,customer 357,customer357@example.com,2023-02-11,Electornics,56.75,3.0
1297,customer 358,customer358@example.com,2023-01-15,Clothng,103.06,3.0
1610,customer 359,customer359@example.com,04/21/23,Electronics,124.7,1.0
1262,CUSTOMER 360,customer360@example.com,06/06/23,Electronics,148.07,3.0
1763,CUSTOMER 361,customer361@example.com,2023-10-16,Electronics,8.76,5.0
1143,customer 362,customer362@example.com,2023-08-19,Electronics,91.41,1.0
1345,CUSTOMER 363,customer363@example.com,06/06/23,Books,44.59,2.0
1623,customer 364,customer364@example.com,2023-02-07,Electornics,89.74,2.0
1571,CUSTOMER 365,customer365@example.com,04/07/23,Clothing,216.71,2.0
1880,CUSTOMER 366,customer366@example.com,2023-10-16,Books,114.59,5.0
1001,CUSTOMER 367,customer367@example.com,09/11/23,Books,144.97,3.0
1896,customer 368,customer368@example.com,2023-07-15,Clothing,198.03,3.0
1303,customer 369,customer369@example.com,2023-03-27,Clothing,156.37,5.0
1253,CUSTOMER 370,customer370@example.com,11/18/23,Electronics,77.6,2.0
1651,CUSTOMER 371,customer371@example.com,2023-01-10,Books,36.21,3.0
